Season,Team,Lge,GP,G,A,Pts,PIM,+/-,GP_playoffs,G_playoffs,A_playoffs,Pts_playoffs,PIM_playoffs,player_name,position,Min,GA,EN,SO,GAA,W,L,T,Svs,Pct
2005-06,Nashville Predators,NHL,44,7,19,26,34,3,5,0,1,1,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Milwaukee Admirals,AHL,3,0,0,0,0,-1,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Nashville Predators,NHL,78,27,36,63,44,23,5,0,3,3,2,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Nashville Predators,NHL,65,15,29,44,38,-4,3,1,0,1,2,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Nashville Predators,NHL,73,20,22,42,32,-3,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Nashville Predators,NHL,82,11,27,38,24,-5,6,2,5,7,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Nashville Predators,NHL,64,17,24,41,24,13,12,6,3,9,8,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Nashville Predators,NHL,78,19,34,53,26,3,10,3,3,6,10,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Nashville Predators,NHL,48,12,13,25,20,-6,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Nashville Predators,NHL,62,10,30,40,30,-8,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Detroit Red Wings,NHL,21,4,7,11,31,-9,5,0,0,0,0,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Ottawa Senators,NHL,80,9,18,27,32,1,3,0,0,0,0,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,Buffalo Sabres,NHL,79,5,9,14,14,-4,--,--,--,--,--,David Legwand,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-96,Regina Pats,WHL,3,0,0,0,0,--,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Regina Pats,WHL,57,7,36,43,58,--,5,0,4,4,14,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Regina Pats,WHL,72,20,45,65,82,--,9,3,4,7,10,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Calgary Hitmen,WHL,30,11,22,33,26,22,21,8,15,23,59,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Regina Pats,WHL,29,10,19,29,43,-7,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,San Jose Sharks,NHL,82,10,26,36,32,3,12,1,0,1,6,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,San Jose Sharks,NHL,77,5,18,23,56,10,5,1,0,1,0,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,San Jose Sharks,NHL,82,6,23,29,39,13,12,0,3,3,8,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,San Jose Sharks,NHL,36,4,10,14,46,-6,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,San Jose Sharks,NHL,77,9,30,39,34,9,17,1,5,6,13,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
