Season,Team,Lge,GP,G,A,Pts,PIM,+/-,GP_playoffs,G_playoffs,A_playoffs,Pts_playoffs,PIM_playoffs,player_name,position,Min,GA,EN,SO,GAA,W,L,T,Svs,Pct
2001-02,Providence Bruins,AHL,49,5,10,15,18,-12,--,--,--,--,--,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Hamilton Bulldogs,AHL,10,1,6,7,0,6,14,0,3,3,6,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Edmonton Oilers,NHL,1,0,0,0,0,0,--,--,--,--,--,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Hamilton Bulldogs,AHL,56,1,12,13,24,14,23,0,5,5,10,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Toronto Roadrunners,AHL,56,5,10,15,18,-2,3,0,2,2,4,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Albany River Rats,AHL,66,5,11,16,20,-1,--,--,--,--,--,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Albany River Rats,AHL,68,4,14,18,28,-8,--,--,--,--,--,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Providence Bruins,AHL,31,5,13,18,14,4,--,--,--,--,--,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Boston Bruins,NHL,31,0,3,3,10,-1,--,--,--,--,--,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Boston Bruins,NHL,19,0,0,0,2,-2,--,--,--,--,--,Bobby Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-96,Thornhill Islanders,MetJHL,50,25,27,52,57,--,,,,,,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Thornhill Islanders,MetJHL,50,34,52,86,52,--,,,,,,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Harvard University,ECAC,33,10,23,33,46,--,,,,,,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Harvard University,ECAC,30,18,13,31,34,--,,,,,,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Harvard University,ECAC,27,10,16,26,53,--,,,,,,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Harvard University,ECAC,32,7,26,33,43,--,,,,,,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Colorado Avalanche,NHL,8,0,0,0,4,-4,--,--,--,--,--,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Hershey Bears,AHL,68,10,17,27,31,-3,8,0,1,1,6,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Colorado Avalanche,NHL,4,0,0,0,0,0,--,--,--,--,--,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Hershey Bears,AHL,58,10,13,23,41,-14,5,0,1,1,4,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Hershey Bears,AHL,13,4,4,8,6,10,--,--,--,--,--,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Colorado Avalanche,NHL,57,5,7,12,37,-5,--,--,--,--,--,Steve Moore,Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,CSKA Moscow,Russia,10,1,0,1,0,--,,,,,,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,CSKA Moscow,Russia,42,7,4,11,16,--,3,0,0,0,0,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,CSKA Moscow,Russia,15,1,0,1,6,--,,,,,,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Wilkes-Barre/Scranton Penguins,AHL,77,14,11,25,16,0,21,2,4,6,0,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Wilkes-Barre/Scranton Penguins,AHL,74,7,16,23,29,-25,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Wilkes-Barre/Scranton Penguins,AHL,13,4,2,6,2,1,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,CSKA Moscow,Russia,11,0,0,0,2,-2,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Khabarovsk Amur,Russia,43,3,3,6,30,--,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,St. Petersburg SKA,Russia,9,1,1,2,2,--,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Ufa Salavat Yulayev,Russia,36,4,1,5,12,--,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Tver MVD HC,Russia,42,5,4,9,34,--,4,0,0,0,14,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Podolsk MVD,Russia,53,11,11,22,26,--,3,0,0,0,2,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Nizhny Novgorod Torpedo,Russia,29,6,6,12,30,--,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Cherepovets Severstal,KHL,44,3,6,9,32,2,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Cherepovets Severstal,KHL,20,1,1,2,12,-5,--,--,--,--,--,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Perm Molot-Prikamye,Rus-VL,6,1,1,2,4,-1,,,,,,Alexander Zevakhin,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Quinte Hawks,MetJHL,46,15,19,34,245,--,,,,,,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Sudbury Wolves,OHL,46,13,18,31,111,--,10,0,2,2,24,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Sudbury Wolves,OHL,8,2,0,2,23,0,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Toronto St. Michael's Majors,OHL,31,11,14,25,215,0,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Barrie Colts,OHL,24,16,14,30,161,-1,12,2,4,6,40,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Barrie Colts,OHL,31,17,12,29,98,15,25,7,7,14,49,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Toledo Storm,ECHL,16,2,4,6,31,-1,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Cincinnati Mighty Ducks,AHL,1,0,0,0,7,0,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Cincinnati Mighty Ducks,AHL,46,2,3,5,152,-8,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Toledo Storm,ECHL,1,1,0,1,0,-1,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Grand Rapids Griffins,AHL,73,5,6,11,151,12,15,1,1,2,17,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Grand Rapids Griffins,AHL,69,6,13,19,175,6,4,0,0,0,7,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Detroit Red Wings,NHL,2,0,0,0,0,0,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Kalamazoo Wings,UHL,11,3,5,8,4,-7,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Grand Rapids Griffins,AHL,69,7,8,15,167,1,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Hamilton Bulldogs,AHL,7,0,0,0,9,0,--,--,--,--,--,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Danbury Trashers,UHL,32,8,19,27,114,15,17,0,2,2,37,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Muskegon Fury,UHL,38,6,9,15,115,-2,11,3,1,4,14,Ryan Barnes,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Ilves Tampere,SM-liiga,19,1,0,1,14,0,3,0,0,0,0,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Kiekko-Karhut Joensuu,FinD1,6,1,2,3,39,-1,,,,,,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Plymouth Whalers,OHL,43,8,16,24,53,7,7,1,0,1,0,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Jokerit Helsinki,SM-liiga,41,0,3,3,63,-1,9,1,0,1,8,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Jokerit Helsinki,SM-liiga,45,3,2,5,138,4,3,0,0,0,0,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Jokerit Helsinki,SM-liiga,55,4,4,8,65,5,11,2,1,3,2,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Jokerit Helsinki,SM-liiga,51,5,9,14,38,4,10,1,1,2,4,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Jokerit Helsinki,SM-liiga,53,15,16,31,78,9,8,1,3,4,8,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Jokerit Helsinki,SM-liiga,35,6,8,14,59,7,12,3,0,3,10,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Jokerit Helsinki,SM-liiga,51,11,6,17,130,-13,--,--,--,--,--,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Jokerit Helsinki,SM-liiga,54,19,16,35,121,8,10,3,4,7,2,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Sodertalje SK,SEL,4,0,1,1,6,0,--,--,--,--,--,Tomek Valtonen,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-96,Prince George Cougars,WHL,7,2,1,3,4,--,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Prince George Cougars,WHL,12,0,2,2,11,--,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Prince George Cougars,WHL,65,11,26,37,90,--,11,1,0,1,21,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Prince George Cougars,WHL,56,22,25,47,178,8,2,0,2,2,10,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Prince George Cougars,WHL,57,30,33,63,183,17,13,6,13,19,36,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Dallas Stars,NHL,48,2,5,7,29,-3,1,0,0,0,0,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Utah Grizzlies,IHL,24,2,6,8,39,-5,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Phoenix Coyotes,NHL,7,0,0,0,4,-1,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Springfield Falcons,AHL,21,1,2,3,33,-2,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Manitoba Moose,AHL,20,4,4,8,25,-3,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Manitoba Moose,AHL,76,10,28,38,103,8,14,2,2,4,10,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Manitoba Moose,AHL,49,11,14,25,100,-3,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Vancouver Canucks,NHL,18,1,2,3,23,-4,1,0,0,0,0,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,TPS Turku,SM-liiga,40,3,7,10,100,-2,6,1,0,1,12,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Vancouver Canucks,NHL,12,1,1,2,21,0,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Manitoba Moose,AHL,8,0,1,1,8,0,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Manitoba Moose,AHL,24,1,3,4,36,-7,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Vancouver Canucks,NHL,6,0,0,0,16,-1,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Portland Pirates,AHL,79,11,18,29,86,-2,13,0,2,2,8,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Portland Pirates,AHL,63,7,16,23,80,-12,5,1,0,1,0,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Ingolstadt ERC,DEL,56,18,21,39,80,0,9,1,2,3,33,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Ingolstadt ERC,DEL,19,3,5,8,33,-1,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Ingolstadt ERC,DEL,43,11,13,24,64,4,7,0,2,2,35,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Ingolstadt ERC,DEL,18,5,5,10,26,-1,--,--,--,--,--,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Ingolstadt ERC,DEL,30,2,6,8,41,3,19,2,6,8,26,Tyler Bouck,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Harvard University,ECAC,33,16,14,30,23,--,,,,,,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Harvard University,ECAC,28,5,10,15,16,--,,,,,,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Harvard University,ECAC,30,10,14,24,18,--,,,,,,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Harvard University,ECAC,32,14,16,30,24,--,,,,,,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Grand Rapids Griffins,AHL,70,21,16,37,9,11,4,0,1,1,0,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Ottawa Senators,NHL,6,0,1,1,0,1,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Binghamton Senators,AHL,51,6,18,24,20,-1,14,2,5,7,4,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Houston Aeros,AHL,61,11,7,18,18,-6,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Hershey Bears,AHL,13,4,2,6,0,1,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Hershey Bears,AHL,58,9,5,14,17,-23,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Milwaukee Admirals,AHL,5,1,0,1,0,1,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Hershey Bears,AHL,8,0,2,2,6,0,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Reading Royals,ECHL,46,17,26,43,27,4,4,3,1,4,0,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Reading Royals,ECHL,58,19,28,47,28,0,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Reading Royals,ECHL,4,0,1,1,2,0,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Reading Royals,ECHL,2,0,0,0,0,-1,--,--,--,--,--,Chris Bala,Left Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-96,Portland Winter Hawks,WHL,1,0,0,0,0,--,--,--,--,--,--,Todd Hornung,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Portland Winter Hawks,WHL,59,3,3,6,51,--,6,0,0,0,0,Todd Hornung,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Portland Winter Hawks,WHL,64,19,18,37,96,--,16,6,6,12,26,Todd Hornung,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Lethbridge Hurricanes,WHL,13,1,1,2,26,-9,--,--,--,--,--,Todd Hornung,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Portland Winter Hawks,WHL,45,15,15,30,86,-6,--,--,--,--,--,Todd Hornung,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Swift Current Broncos,WHL,22,3,2,5,28,1,11,2,1,3,11,Todd Hornung,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Flin Flon Bombers,SJHL,55,32,55,87,169,--,,,,,,Todd Hornung,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Kazan Ak-Bars,Russia,1,1,0,1,0,--,,,,,,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Kazan Ak-Bars,Russia,29,2,2,4,2,--,,,,,,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Kazan Ak-Bars,Russia,34,12,1,13,22,--,9,2,3,5,6,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Kazan Ak-Bars,Russia,32,7,9,16,14,--,,,,,,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Nashville Predators,NHL,40,6,7,13,4,0,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Milwaukee Admirals,IHL,40,9,8,17,11,-1,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Nashville Predators,NHL,82,20,22,42,16,-18,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Nashville Predators,NHL,79,11,24,35,32,-18,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Nashville Predators,NHL,72,9,12,21,22,-2,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Kazan Ak-Bars,Russia,45,9,6,15,28,--,4,0,0,0,0,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Mytishchi Khimik,Russia,49,8,8,16,28,--,9,2,1,3,0,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Chicago Blackhawks,NHL,79,10,17,27,54,-13,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Kazan Ak-Bars,Russia,56,10,18,28,22,--,9,1,3,4,6,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Mytishchi Atlant,KHL,56,10,12,22,24,8,7,1,4,5,8,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Nizhnekamsk Neftekhimik,KHL,55,14,15,29,48,0,4,1,0,1,4,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Nizhnekamsk Neftekhimik,KHL,54,9,17,26,60,-13,,,,,,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Nizhny Novgorod Torpedo,KHL,8,1,1,2,0,-5,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,CSKA Moscow,KHL,8,0,2,2,4,-5,--,--,--,--,--,Denis Arkhipov,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Smiths Falls Bears,CJHL,52,13,20,33,78,--,,,,,,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Boston University,H-East,38,2,16,18,50,--,,,,,,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Boston University,H-East,36,2,15,17,72,--,,,,,,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Halifax Mooseheads,QMJHL,63,13,43,56,83,32,10,3,4,7,26,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Philadelphia Phantoms,AHL,71,3,5,8,65,-10,10,1,2,3,15,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Philadelphia Phantoms,AHL,61,2,4,6,71,7,--,--,--,--,--,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Chicago Wolves,AHL,15,0,2,2,15,-1,25,1,3,4,22,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Chicago Wolves,AHL,76,2,17,19,107,22,9,0,1,1,7,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Atlanta Thrashers,NHL,3,1,1,2,0,3,--,--,--,--,--,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Chicago Wolves,AHL,73,0,6,6,105,1,10,1,0,1,13,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Manitoba Moose,AHL,73,2,10,12,48,18,14,0,5,5,2,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Anaheim Mighty Ducks,NHL,72,2,6,8,46,8,16,0,0,0,13,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Anaheim Ducks,NHL,76,2,6,8,48,1,16,0,0,0,4,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Anaheim Ducks,NHL,23,1,4,5,16,3,--,--,--,--,--,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Frolunda HC,SEL,47,1,5,6,71,5,11,0,1,1,12,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Portland Pirates,AHL,65,2,5,7,83,1,4,0,0,0,4,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Syracuse Crunch,AHL,70,1,3,4,62,10,--,--,--,--,--,Joe DiPenta,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Colorado College,WCHA,30,1,5,6,16,--,,,,,,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Colorado College,WCHA,41,3,10,13,75,--,,,,,,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Colorado College,WCHA,39,6,17,23,26,--,,,,,,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Colorado College,WCHA,34,2,28,30,48,--,,,,,,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Elmira Jackals,UHL,1,1,0,1,0,3,--,--,--,--,--,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Syracuse Crunch,AHL,35,1,4,5,16,4,--,--,--,--,--,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Columbus Blue Jackets,NHL,8,0,0,0,2,0,--,--,--,--,--,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Syracuse Crunch,AHL,52,2,5,7,37,2,--,--,--,--,--,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Hamburg Freezers,DEL,50,2,2,4,67,-1,11,0,3,3,6,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Hamburg Freezers,DEL,36,4,6,10,90,-1,6,1,0,1,10,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Hamburg Freezers,DEL,49,4,11,15,56,3,5,0,0,0,35,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Hamburg Freezers,DEL,47,3,5,8,22,11,7,1,2,3,14,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Hamburg Freezers,DEL,44,2,7,9,34,11,8,0,0,0,10,Paul Manning,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
